audio,raw_asr,reference,cleaned_asr,cleaned_ref,tagged_asr
1020918_18.wav," अगरा कि से लोओ मुन्ती हैं, तो आपका रहा होंए जासा,",पीछे एक और बैठा हुआ था तो ऐसा हुआ कि हमने जब गेट खु गेट तो खुला रहता है तो ऐं एंट्री- एंट्री करते समय जो उसने था एक्सीलेटर ज्यादा ले लिया और जो एक टायर एक टायर पे जाके हमने एंट्री करी,अगर क स लओ मनत ह त आपक रह हए जस,पछ 1 और बठ हआ थ त ऐस हआ क हमन जब गट ख गट त खल रहत ह त ऐ एटर- एटर करत समय ज उसन थ एकसलटर जयद ल लय और ज 1 टयर 1 टयर प जक हमन एटर कर,अगर क स लओ मनत ह त आपक रह हए जस
1020918_19.wav," अगरा कोंकिने स्युती है, और उसमें 3 लोओ एंटी करहे हे, 1 ताईड से","की स्कूटी और उसमें तीन, तीन लोग एंट्री कर रहे हैं एक टायर से",अगर ककन सयत ह और उसम 3 लओ एट करह ह 1 तईड स,क सकट और उसम तन लग एटर कर रह ह 1 टयर स,अगर ककन सयत ह और उसम 3 लओ एट करह ह 1 तईड स
1020918_2.wav," अपको जु करना है, तो से आमी खातिया मैं बस्ती कहते हूँ",की नहीं आपको ये समान लेके आना है कि नहीं आपको यहां जाना है आपको वहां जाना है कि आपको कुछ नहीं आपको जो करना है करे पढ़ना है आपको सिर्फ ये काम है पढ़ना है मस्ती करने का काम तो खैर हमारा ही रहता है हम ही करते हैं मस्ती करने का काम घरवाले तो खैर कहते नहीं है,अपक ज करन ह त स आम खतय म बसत कहत ह,क नह आपक य समन लक आन ह क नह आपक यह जन ह आपक वह जन ह क आपक कछ नह आपक ज करन ह कर पढन ह आपक सरफ य कम ह पढन ह मसत करन क कम त खर हमर ह रहत ह हम ह करत ह मसत करन क कम घरवल त खर कहत नह ह,अपक ज करन ह त स आम खतय म बसत कहत ह
1020918_20.wav, तो सावने ब्रियज्ती पल कडेतें,तो सामने प्रिंसिपल खड़े थे,त सवन बरयजत पल कडत,त समन परसपल खड थ,त सवन बरयजत पल कडत
1020918_21.wav, Had the,हाँ जी,had the,ह ज,[EN]had[/EN] [EN]the[/EN]
1020918_22.wav, Thank you.,जी,थक य,ज,थक य
1020918_23.wav, G will pull between.,जी बिल्कुल बिल्कुल जी,g will pull between,ज बलकल ज,[EN]g[/EN] [EN]will[/EN] [EN]pull[/EN] [EN]between[/EN]
1020918_24.wav, Huh.,"हाँ, जी",huh,ह ज,[EN]huh[/EN]
1020918_25.wav, Thank you.,अच्छा,थक य,अचछ,थक य
1020918_26.wav, Thank you.,जी,थक य,ज,थक य
1020918_27.wav, and chair.,अच्छा,and chair,अचछ,[EN]and[/EN] [EN]chair[/EN]
1020918_28.wav, Ha,हां,ha,ह,[EN]ha[/EN]
1020918_29.wav, Thank you.,जी हम्म,थक य,ज हमम,थक य
1020918_3.wav," अगर, मस्ती बलकुर तेया है.",लेकिन मस्ती भरपूर होती है मस्ती भरपूर,अगर मसत बलकर तय ह,लकन मसत भरपर हत ह मसत भरपर,अगर मसत बलकर तय ह
1020918_30.wav, time.,हाँ,time,ह,[EN]time[/EN]
1020918_31.wav, येंकोल,बिल्कुल,यकल,बलकल,यकल
1020918_32.wav," Hmm. Hmm? Oh, yeah",हम्म हम्म हाँ हाँ,oh,हमम ह,[EN]oh[/EN]
1020918_33.wav, Thank you.,हां जी हां,थक य,ह ज ह,थक य
1020918_34.wav," Yeah, thank you.",यह चीज़ हां,थक य,यह चज ह,थक य
1020918_35.wav, The.,जी हां जी हां हां,the,ज ह ज ह,[EN]the[/EN]
1020918_36.wav, نعم بالكل,हाँ बिल्कुल,نعم بالكل,ह बलकल,نعم بالكل
1020918_37.wav, All right.,हां हां,all right,ह,[EN]all[/EN] [EN]right[/EN]
1020918_38.wav, Yeah.,आहँ पिछे,,आह पछ,[EN]nan[/EN]
1020918_39.wav, Yeah.,हाँ हाँ ओह हा हा हा हा हा हा हा हा,,ह ओह ह,[EN]nan[/EN]
1020918_4.wav, Thank you.,जी,थक य,ज,थक य
1020918_40.wav, Yeah.,हे,,ह,[EN]nan[/EN]
1020918_41.wav, Oh.,हां,oh,ह,[EN]oh[/EN]
1020918_42.wav, you,REDACTED,you,redacted,[EN]you[/EN]
1020918_43.wav, you,REDACTED,you,redacted,[EN]you[/EN]
1020918_44.wav, Yeah.,हाँ जी,,ह ज,[EN]nan[/EN]
1020918_45.wav," जी मिलकों भुरे तागत से क्ये, बेट्फी हो गै. वो किस थो, की निर्मन दोशी सह रालती, सिंका लतिजा, है च्हान मेंता.","जी,बिल्कुल वो तो पूरी तरीके से हो गई ये कि वो निर्दोष ही थे निर्दोष ही शरारत थी इनका नतीजा अच्छा नही था",ज मलक भर तगत स कय बटफ ह ग व कस थ क नरमन दश सह रलत सक लतज ह चहन मत,जबलकल व त पर तरक स ह गई य क व नरदष ह थ नरदष ह शररत थ इनक नतज अचछ नह थ,ज मलक भर तगत स कय बटफ ह ग व कस थ क नरमन दश सह रलत सक लतज ह चहन मत
1020918_46.wav, Bye.,हां।,bye,ह,[EN]bye[/EN]
1020918_47.wav," बलकोंगर क्या, मुसमेत समची भीन हूँतियै",बिल्कुल और क्या उसमें हमें समझ भी नहीं होती है।,बलकगर कय मसमत समच भन हतय,बलकल और कय उसम हम समझ भ नह हत ह,बलकगर कय मसमत समच भन हतय
1020918_48.wav, अपना समयते हैं को बच्सकरी मुलाजा हे लिए तूर आद.,हां उसको ना समझ ही बोला ना समझ है तो उसको बच्चा ही बोला जायेगा आपको मेरे साथ जैसा मेरे साथ सही होता है,अपन समयत ह क बचसकर मलज ह लए तर आद,ह उसक न समझ ह बल न समझ ह त उसक बचच ह बल जयग आपक मर सथ जस मर सथ सह हत ह,अपन समयत ह क बचसकर मलज ह लए तर आद
1020918_49.wav," अपने सात्यों कि मैं आलकी फुट्र शरावत की है, यसकरनतीजाम नहीं हो बताना चाहूँ",तो मेरे भी साथ भी मैंने भी हल्की फुल शरारत की है इसका नतीजा मैं आपको बताना चाहूंगा जैसे पांचवीं हां फिफ्थ पांचवीं क्लास की बात थी गर्मी बहुत ज्यादा पड़ रही थी गर्मी के दिनों की बात थी,अपन सतय क म आलक फटर शरवत क ह यसकरनतजम नह ह बतन चह,त मर भ सथ भ मन भ हलक फल शररत क ह इसक नतज म आपक बतन चहग जस पचव ह फफथ पचव कलस क बत थ गरम बहत जयद पड रह थ गरम क दन क बत थ,अपन सतय क म आलक फटर शरवत क ह यसकरनतजम नह ह बतन चह
1020918_5.wav, Thank you.,बोल सकते,थक य,बल सकत,थक य
1020918_50.wav, अगर के साथ हैं।,तो हम सबको खेलने के लिए जल्दी छुट्टी चाहिए थी अब क्लास में तो कौन ही निकलने देता अब बीच में से क्लास छोड़कर कौन कहां जाओगे कहते हैं ना कि कहा जाना कहीं नहीं जाना मेरा एक दोस्त था उसके दिमाग मे एक आइडिया आया,अगर क सथ ह,त हम सबक खलन क लए जलद छटट चहए थ अब कलस म त कन ह नकलन दत अब बच म स कलस छडकर कन कह जओग कहत ह न क कह जन कह नह जन मर 1 दसत थ उसक दमग म 1 आइडय आय,अगर क सथ ह
1020918_51.wav," अपने काम कर हैं, यह स्तुलकी गड़ि में बहले ही मोचान देखा,",हम एक काम करें स्कूल की घंटी पांच मिनट पहले ही बजा दें तो सबको छुट्टी सबको लगेगा छुट्टी हो गई है अच्छा उसने सोचा चुप चाप उसने,अपन कम कर ह यह सतलक गड म बहल ह मचन दख,हम 1 कम कर सकल क घट पच मनट पहल ह बज द त सबक छटट सबक लगग छटट ह गई ह अचछ उसन सच चप उसन,अपन कम कर ह यह सतलक गड म बहल ह मचन दख
1020918_52.wav," अपने स्यारी किलात, वोसी लेंगे दूर बड़े की है.","उसने जो मेरा दोस्त था उसने चुपचाप जाकर स्कूल की घंटी की रस्सी खींच दी तो घंटी बजते ही सारी क्लास खुशी की लहर दौड़ पड़ी की छुट्टी हो गई छुट्टी हो गई सब दौड़ पड़े सब बच्चे बैग लेके उठाकर भागने लगे टीचर भी बड़े हैरान हो गए लेकिन उन्होंने उनको,",अपन सयर कलत वस लग दर बड क ह,उसन ज मर दसत थ उसन चपचप जकर सकल क घट क रसस खच द त घट बजत ह सर कलस खश क लहर दड पड क छटट ह गई छटट ह गई सब दड पड सब बचच बग लक उठकर भगन लग टचर भ बड हरन ह गए लकन उनहन उनक,अपन सयर कलत वस लग दर बड क ह
1020918_53.wav," अगरा बतु स्यक होता कि आपी तैम हूँ नहीं है, इसे दिलने के सच्टी ह में ज़ॉए.",थोड़ा बहुत तो शक होता है कि अभी टाइम हुआ नहीं है अभी इतनी जल्दी कैसे छुट्टी हो सकती है तो कुछ ही कुछ मिनटों में प्रिंसीपल ने ऐलान कर दिया किसी ने जानबूझकर घंटी बजाई है वो होता है ना सब,अगर बत सयक हत क आप तम ह नह ह इस दलन क सचट ह म जए,थड बहत त शक हत ह क अभ टइम हआ नह ह अभ इतन जलद कस छटट ह सकत ह त कछ ह कछ मनट म परसपल न ऐलन कर दय कस न जनबझकर घट बजई ह व हत ह न सब,अगर बत सयक हत क आप तम ह नह ह इस दलन क सचट ह म जए
1020918_54.wav," अपने को बुलाके लिएतें है, यह सेकर च्यूग भी ज्स्टी होई आवीद ताम वो हझे हौओः नहीं था औ़ श्कती कै सोल सक्ति हे.","वो बुला कर जो बोलते थे,न अ ऐसे कैसे छुट्टी हो गई,अब छुट्टी हो गई,अभी तो टाइम हुआ नही है,अभी छुट्टी कैसे हो सकती है,तो प्रिंसिपल ने सबको सबको बोल दिया के अभी छुट्टी हुई नही है,घंटी किसी ने जान बुझ के बजाई है,जिसने भी किया है,वो सामने",अपन क बलक लएत ह यह सकर चयग भ जसट हई आवद तम व हझ हओ नह थ औ शकत क सल सकत ह,व बल कर ज बलत थन अ ऐस कस छटट ह गईअब छटट ह गईअभ त टइम हआ नह हअभ छटट कस ह सकत हत परसपल न सबक बल दय क अभ छटट हई नह हघट कस न जन बझ क बजई हजसन भ कय हव समन,अपन क बलक लएत ह यह सकर चयग भ जसट हई आवद तम व हझ हओ नह थ औ शकत क सल सकत ह
1020918_55.wav," अप साभ को एक हत्रे बुलायी, सब किलस कह लास गो मैं वोड़ा रहानी है.",सबको इकट्ठा बोल रहे सारे क्लास को बाहर बुला लिया जिसने भी किया वो सामने आ जाओ बाहर आ जाओ अब सबको डर लगता है यह सब डर के मारे चुप हो ही जाते हैं कि अब हमारा नाम यदि हम खुद आ गए तो क्या हमको क्या सजा मिल सकती है अभी पता नहीं क्या क्या होगा अगर घर वालों को बुला लिया तो तो और।,अप सभ क 1 हतर बलय सब कलस कह लस ग म वड रहन ह,सबक इकटठ बल रह सर कलस क बहर बल लय जसन भ कय व समन आ जओ बहर आ जओ अब सबक डर लगत ह यह सब डर क मर चप ह जत ह क अब हमर नम यद हम खद आ गए त कय हमक कय सज मल सकत ह अभ पत नह कय हग अगर घर वल क बल लय त और,अप सभ क 1 हतर बलय सब कलस कह लस ग म वड रहन ह
1020918_56.wav," अगर में सान्ती कोई लिक तुम्या है,",बहुत ज्यादा कंप्लेन हो जायेगी जो दोस्त है ना मेरा तो उसने खुद अब वो आना पड़ेगा की नहीं वो सामने आ गया ठीक है सारी बात बता दि की हमे खेल ने जाना था खेल ने का मन था तो,अगर म सनत कई लक तमय ह,बहत जयद कपलन ह जयग ज दसत ह न मर त उसन खद अब व आन पडग क नह व समन आ गय ठक ह सर बत द क हम खल न जन थ खल न क मन थ त,अगर म सनत कई लक तमय ह
1020918_57.wav, अपने कारी बैंतिया हो तुम्हाँ सकल नसी कर में लिए दूज था रही है.,हमने घंटी प पहले ही बजा दी थी तो इसका नतीजा ये निक तो उसका नतीजा ये निकला की जो दोस्त था ना मेरा डांट तो पड़ी डांट भी पड़ी लेकिन वह,अपन कर बतय ह तमह सकल नस कर म लए दज थ रह ह,हमन घट प पहल ह बज द थ त इसक नतज य नक त उसक नतज य नकल क ज दसत थ न मर डट त पड डट भ पड लकन वह,अपन कर बतय ह तमह सकल नस कर म लए दज थ रह ह
1020918_58.wav," अगरा कि से आपनी लोखत्या है, मुल्सम्की सब ज़ारत तहीं रहाए.",खुद आगे आगे और एक मासूम से शरारत थी एक तरीके से मासूम से लगी उसको इसलिए इसीलिए उसे एक दिन के मॉर्निंग असेंबली जो खड़े रहने की सजा मिल गई,अगर क स आपन लखतय ह मलसमक सब जरत तह रहए,खद आग और 1 मसम स शररत थ 1 तरक स मसम स लग उसक इसलए उस 1 दन क मरनग असबल ज खड रहन क सज मल गई,अगर क स आपन लखतय ह मलसमक सब जरत तह रहए
1020918_59.wav," अपको सर्ब कहते रहना मूनिंग सम्यली मैं, या वो कोसरभ क हो तर नहां आए और सफक्तरे है लोज थो, संुद्रिश्स्लिball जों सामडया हघ भी इमान् �",कि आपको सिर्फ खड़े रहने मॉर्निंग असेंबली में आपको कुछ पूछा सिर्फ खड़े रहना है बस प्रिन्सीपल ने उसको समझाया भी की ईमानदारी का सम ईमानदारी आपने दिखाई है आपका सम्मान हम करते,अपक सरब कहत रहन मनग समयल म य व कसरभ क ह तर नह आए और सफकतर ह लज थ सदरशसलball ज समडय हघ भ इमन,क आपक सरफ खड रहन मरनग असबल म आपक कछ पछ सरफ खड रहन ह बस परनसपल न उसक समझय भ क ईमनदर क सम ईमनदर आपन दखई ह आपक सममन हम करत,अपक सरब कहत रहन मनग समयल म य व कसरभ क ह तर नह आए और सफकतर ह लज थ सदरशसलball ज समडय हघ भ इमन
1020918_6.wav, Thank you.,जी हां,थक य,ज ह,थक य
1020918_60.wav," अपने कि साजा तो देनी भरते हैंकि आगर और मुल्ची कहायंटी, यह ख़ोडषे बीवेश धेके सकता हमें थे.",नहीं लेकिन आपको सजा तो देनी पड़ेगी अगर आप सजा नहीं देंगे तो और लोग ओर बच्चे क्या कहेंगे कि और भी बच्चे होंगे देख के कर सकते है ना ये चीजें,अपन क सज त दन भरत हक आगर और मलच कहयट यह खडष बवश धक सकत हम थ,नह लकन आपक सज त दन पडग अगर आप सज नह दग त और लग ओर बचच कय कहग क और भ बचच हग दख क कर सकत ह न य चज,अपन क सज त दन भरत हक आगर और मलच कहयट यह खडष बवश धक सकत हम थ
1020918_61.wav," Ah, too many.",हां तो,too many,ह त,[EN]too[/EN] [EN]many[/EN]
1020918_62.wav, Yeah.,जी,,ज,[EN]nan[/EN]
1020918_63.wav, Thank you.,हम्म,थक य,हमम,थक य
1020918_64.wav, Yeah.,जी,,ज,[EN]nan[/EN]
1020918_65.wav, you,REDACTED,you,redacted,[EN]you[/EN]
1020918_66.wav, you,REDACTED,you,redacted,[EN]you[/EN]
1020918_67.wav, Thank you.,जी ओ होहो,थक य,ज ओ हह,थक य
1020918_68.wav," Yeah, that's right.",हां बिल्कुल हूं,thats right,ह बलकल ह,[EN]thats[/EN] [EN]right[/EN]
1020918_69.wav, Thank you.,जी,थक य,ज,थक य
1020918_7.wav, Uh,हा,,ह,[EN]nan[/EN]
1020918_70.wav, Uh,हां,,ह,[EN]nan[/EN]
1020918_71.wav, G.,जी,g,ज,[EN]g[/EN]
1020918_72.wav," अगे उनो नहीं चिया के है, आपने मुत्मेहनत की ही तो सको हिसकर जूते सेदेनल थोडिलानात बन टा हाए.",आके ही उन्होंने ये चीज देखें कि आपने बहुत मेहनत की है तो इसको यह जूते देना तो दिलाना तो बनता है उन्होंने आपकी मेहनत को देखें,अग उन नह चय क ह आपन मतमहनत क ह त सक हसकर जत सदनल थडलनत बन ट हए,आक ह उनहन य चज दख क आपन बहत महनत क ह त इसक यह जत दन त दलन त बनत ह उनहन आपक महनत क दख,अग उन नह चय क ह आपन मतमहनत क ह त सक हसकर जत सदनल थडलनत बन ट हए
1020918_73.wav, Thank you.,जी,थक य,ज,थक य
1020918_74.wav, Thank you.,हा हा जी,थक य,ह ज,थक य
1020918_75.wav, Thank you.,हा,थक य,ह,थक य
1020918_76.wav, you,REDACTED,you,redacted,[EN]you[/EN]
1020918_77.wav, you,REDACTED,you,redacted,[EN]you[/EN]
1020918_78.wav," अगर में साथ भी बहुत है,",हाँ वो चीज जब जब वो चीज देखने को मिलती है कि या निशान देखने को मिलता है तो वो चीज रिकॉल हो जाती है माइंड में कि हाँ ये चीज हमारे साथ ऐसी घटना होती है एक बार मेरे साथ भी एक बार की बात बताता हूँ आपको मैं स्कूल में था,अगर म सथ भ बहत ह,ह व चज जब व चज दखन क मलत ह क य नशन दखन क मलत ह त व चज रकल ह जत ह मइड म क ह य चज हमर सथ ऐस घटन हत ह 1 बर मर सथ भ 1 बर क बत बतत ह आपक म सकल म थ,अगर म सथ भ बहत ह
1020918_79.wav," तो मेदान हैं, उसकुर की मियाताम स्वहाँत ना. थो बच्तोगी भज्ये शोर पूछ रा ठा, मैडों के सास फृट्लोल मइध खेल ला tha.",तो लंच ब्रेक का समय हो गया था तो मैदान मैदान होता है ना स्कूल का मैदान मैं ग्राउंड था तो बच्चों कि बच्चे शोर गूंज रहा था तो मैं अपने दोस्तों के साथ फुटबॉल मैच खेल रहा था हम दोस्त लोग फुटबॉल मैच खेल रहे थे,त मदन ह उसकर क मयतम सवहत न थ बचतग भजय शर पछ र ठ मड क सस फटलल मइध खल ल tha,त लच बरक क समय ह गय थ त मदन हत ह न सकल क मदन म गरउड थ त बचच क बचच शर गज रह थ त म अपन दसत क सथ फटबल मच खल रह थ हम दसत लग फटबल मच खल रह थ,त मदन ह उसकर क मयतम सवहत न थ बचतग भजय शर पछ र ठ मड क सस फटलल मइध खल ल [EN]tha[/EN]
1020918_8.wav, Thank you.,जी,थक य,ज,थक य
1020918_80.wav, अपने स्यारी किसकोंत।,अपने दोस्तों के साथ फुटबॉल खे मैच खेल रहा था तभी जोर से आवाज आई किसी ने गोल करने की कोशिश में जोड़ से गेंद मारी और सीधे पास में खेल रहे छोटे बच्चे के चेहरे पर जा लगी,अपन सयर कसकत,अपन दसत क सथ फटबल ख मच खल रह थ तभ जर स आवज आई कस न गल करन क कशश म जड स गद मर और सध पस म खल रह छट बचच क चहर पर ज लग,अपन सयर कसकत
1020918_81.wav," अगर के रोंनी लिका, और वह दुल्या कै निसा होते है.","पास में छोटा बच्चा वो भी प्रैक्टिस कर रहा था, खेलने का शौक होता छोटी छोटी क्लास के बच्चों को उसकी चेहरे पर बहुत जोर से जाके लगी बच्चा गिर के रोने लगा, गिर गया और रोने लगा, उसके मुंह से जरा से और खून बूंद लिकरने लग गये कुछ बच्चे तो ऐसे होते हैं ना कि देख के हंसने लगते हैं और बच्चे",अगर क रन लक और वह दलय क नस हत ह,पस म छट बचच व भ परकटस कर रह थ खलन क शक हत छट कलस क बचच क उसक चहर पर बहत जर स जक लग बचच गर क रन लग गर गय और रन लग उसक मह स जर स और खन बद लकरन लग गय कछ बचच त ऐस हत ह न क दख क हसन लगत ह और बचच,अगर क रन लक और वह दलय क नस हत ह
1020918_82.wav, अपने को मरी आश्योति,तुम्हारी ऐसी होती,अपन क मर आशयत,तमहर ऐस हत,अपन क मर आशयत
1020918_83.wav," तो कुछ लों से दर्किया है, की महने क्यम हो यह चोता सा बच्साय अप जावन रगी थो में उआखा, टा मैं, मड़का काम शूभ फ्रेत आत हा.",मजा लेते है तो कुछ लोग डर के इधर उधर गए कि भाई ये क्या हो गया छोटा सा बच्चा है इसको कितनी ज्यादा लगी तो नहीं है .तभी एक लड़का आम तौर पे चुप रहता था जो ज़्यादातर चुप रहते है ना तो वो आया और जिसके हमसे ज़्यादा.,त कछ ल स दरकय ह क महन कयम ह यह चत स बचसय अप जवन रग थ म उआख ट म मडक कम शभ फरत आत ह,मज लत ह त कछ लग डर क इधर उधर गए क भई य कय ह गय छट स बचच ह इसक कतन जयद लग त नह ह तभ 1 लडक आम तर प चप रहत थ ज जयदतर चप रहत ह न त व आय और जसक हमस जयद,त कछ ल स दरकय ह क महन कयम ह यह चत स बचसय अप जवन रग थ म उआख ट म मडक कम शभ फरत आत ह
